airtable_record_id,arda_item_eid,matched_via,tool_description,product_id,vendor,airtable_url
rec02BCOXzobUaoMp,4e77ced2-d8ed-42b5-90f3-c935540ee318,description,0260NS,E5977024,YG1,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec02BCOXzobUaoMp
rec0BYx3GmmdGPL1a,b3d63f92-f2e6-4406-943b-17effa3a46c1,numeric-base,1956NS,07682305,Hertel,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec0BYx3GmmdGPL1a
rec0rVtFZ443BAnH2,c01038dc-4922-4c8f-a358-e930bb73f706,description,"11 MRTL Shrink, .375 3"" GAGE",TM4-6053-C,Q-Mark,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec0rVtFZ443BAnH2
rec0u9Ln4Ah4SLJQL,bf9dfd7d-6157-42a8-9972-6ec279def48f,description,0345NS,0250C05-28UN,Carmex,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec0u9Ln4Ah4SLJQL
rec12MYpCnOX5Qwmm,58c4fe3c-6b29-47c6-b7de-eefb1dcc0b85,description,1581NS,79890349,Hertel,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec12MYpCnOX5Qwmm
rec1AXLMBnf6qV2Lb,076ea985-0160-44d0-a6ff-f5c0ad200c0c,description,1587S,D4107047,YG1,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1AXLMBnf6qV2Lb
rec1GZekKtrewsft2,e8acc7b0-f873-47b7-aa94-3dcf10eeeb1f,numeric-base,0298C,UGMF68916,YG1,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1GZekKtrewsft2
rec1TGKDhl5zA9jCv,708cd74a-f1ce-413d-abd7-42fcd113f6e0,description,1977NS,9008270150050,Guhring,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1TGKDhl5zA9jCv
rec1UidvakYxRoUzi,8ad1e28d-7cc7-4477-ad23-ada55962a313,description,1549NS,YGDH408020F,YG1,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1UidvakYxRoUzi
rec1dgaKU4d5oXZF6,f3a618ad-1723-4aff-830d-e7492618c3a0,description,1974NS,04621900,OSG,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1dgaKU4d5oXZF6
rec1jy8otHBG46JdP,001a8b12-4b3f-4712-9f8d-3bdea0eae497,description,1952NS,9008270080040,Guhring,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1jy8otHBG46JdP
rec1kCTlLG8m1ZGnS,246e01c0-5589-4064-a587-6160b027c555,description,1512NS,9007320031700,Guhring,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1kCTlLG8m1ZGnS
rec1uisdaACVTcyaP,3267627d-32e7-4907-883c-3147a80b6d18,description,1533NS,D4107130,YG1,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1uisdaACVTcyaP
