airtable_record_id,reason,tool_description,product_id,vendor,linked_state,airtable_url
rec1jyPpDVCr7Zi0e,AMBIGUOUS_multiple_arda_items,1679NS,75677955,MSC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1jyPpDVCr7Zi0e
rec2nzG8wfSWlSsfj,AMBIGUOUS_multiple_arda_items,"53 NT ER16, 100mm GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec2nzG8wfSWlSsfj
rec3weVTRjWDQLEPf,AMBIGUOUS_multiple_arda_items,"12 MRTL Shrink .250""  3"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec3weVTRjWDQLEPf
rec8SXhwa2lFoVYCR,AMBIGUOUS_multiple_arda_items,83 GENERIC ER32,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec8SXhwa2lFoVYCR
rec8mpRHNFeTQWtME,AMBIGUOUS_multiple_arda_items,81 MRTL ER32 60mm GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec8mpRHNFeTQWtME
recAzTLeOsd84D4ii,AMBIGUOUS_multiple_arda_items,1680NS,58544271,MSC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recAzTLeOsd84D4ii
recBgls6BseXu7dx2,AMBIGUOUS_multiple_arda_items,1920S,B5991400.0050,Emuge,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recBgls6BseXu7dx2
recGBxosnvGKfbUtF,AMBIGUOUS_multiple_arda_items,51 MRTL ER16 60MM GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recGBxosnvGKfbUtF
recGKWfcIlfux8Zpt,AMBIGUOUS_multiple_arda_items,82 MRTL ER32 52mm GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recGKWfcIlfux8Zpt
recIALkkH8vDRZ72D,AMBIGUOUS_multiple_arda_items,"22 MRTL Shrink, .125"" 2.25"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recIALkkH8vDRZ72D
recIogyJcw02iIh7a,AMBIGUOUS_multiple_arda_items,"16 MRTL Shrink .250 x 2.25"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recIogyJcw02iIh7a
recJIxSjof6sNJCFp,AMBIGUOUS_multiple_arda_items,52 GENERIC ER16,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recJIxSjof6sNJCFp
recLaxqi196zvVfD2,AMBIGUOUS_multiple_arda_items,0100S,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recLaxqi196zvVfD2
recMsOKsuX8t2D8g0,AMBIGUOUS_multiple_arda_items,54 MRTL .500 Hyd 1.9 GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recMsOKsuX8t2D8g0
recNQ9YXuoOLaMz6W,AMBIGUOUS_multiple_arda_items,1677NS,48831820,MSC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recNQ9YXuoOLaMz6W
recRf5ZPUQOQIX4FK,AMBIGUOUS_multiple_arda_items,"17 YG1 Shrink .1875 x 2.36"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recRf5ZPUQOQIX4FK
recS1hTTw7NG8IWfk,AMBIGUOUS_multiple_arda_items,"14 MRTL Shrink .1875 x 3"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recS1hTTw7NG8IWfk
recSdgJ6F5IMa5Uw5,AMBIGUOUS_multiple_arda_items,"21 MRTL Shrink .5 x 2.25""",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recSdgJ6F5IMa5Uw5
recVrjheW482aF07Y,AMBIGUOUS_multiple_arda_items,0356NS,YG1 38593,CTC,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recVrjheW482aF07Y
recWe6gbI95QyBcaI,AMBIGUOUS_multiple_arda_items,20 Haimer Shrinnk 10mm x 80mm GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recWe6gbI95QyBcaI
recaZvpDR0GeNZ3Mv,AMBIGUOUS_multiple_arda_items,19 Haimer Shrink 6mm x 80mm GAGE,,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recaZvpDR0GeNZ3Mv
recbfFLHGWa5hCPTw,AMBIGUOUS_multiple_arda_items,"18 YG1 Shrink .125 x 2.36"" GAGE",,,LINKED,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recbfFLHGWa5hCPTw
