coda_row_id	arda_eid	matched_via
i-986bf7c2f88103c050667e43aece0efb1aba4168e73ff199fc8b29c854b79819	4e77ced2-d8ed-42b5-90f3-c935540ee318	description
i-405fb93586c1c032aa0883213230e71a2992ced4d9df9ce086e0d498c4fad59b	b3d63f92-f2e6-4406-943b-17effa3a46c1	numeric-base
i-b4de9773ecce761de3cd78b91dce37d5e2a4d319a5f5ebc549e1cde294a55464	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-eea09c40d8ae87e8f23b1007d0d1fef6ed1e890d9c0b123d4209883d2f6fcfcb	bf9dfd7d-6157-42a8-9972-6ec279def48f	description
i-efcaa3dd35051fbfa48e7f966f4f8cb79b9218dcb57bb0b5f7ad0d34ab82b94d	58c4fe3c-6b29-47c6-b7de-eefb1dcc0b85	description
i-ec7ca280c8aa49350e8adb50ede95199534c9a2db71002c41eae6e14f6c56553	076ea985-0160-44d0-a6ff-f5c0ad200c0c	description
i-150f735a1a0740b4eddf3943ce0c3b750a02ca7cf72bc40805fef78688cab7ad	e8acc7b0-f873-47b7-aa94-3dcf10eeeb1f	numeric-base
i-6d273532a26180f13fe546a3ff1d4833d6a0a14246d1e502a360c7906ecbd7d2	708cd74a-f1ce-413d-abd7-42fcd113f6e0	description
i-fca0b83e7b7fd7368716b9bcfdca2496e5380af66faea94543eb569c6702aae6	8ad1e28d-7cc7-4477-ad23-ada55962a313	description
i-0fdf8b7223ea206da960373ea316cf42456d6487d81da9be7f63b9353435acd5	f3a618ad-1723-4aff-830d-e7492618c3a0	description
i-dc7db5360182e06713a7adb26b3ed672266a205cb531f83148f26fd72134a26a	001a8b12-4b3f-4712-9f8d-3bdea0eae497	description
i-b4b63d4d525cf18596145a5e8d48a86f90593d60f5bc2252b6f65ae8a3b363ac	246e01c0-5589-4064-a587-6160b027c555	description
i-8ae980b6ff01dfad2b88078f4cc89d62f0bec1737462111fada6b79de642951e	3267627d-32e7-4907-883c-3147a80b6d18	description
i-35194334cd179a1cbceceb054f297d2616d64ecc259745eadb13a73521ab29ab	7f0f5495-0247-4fc5-a6ef-ac338e7ca5c6	description
i-0c90173da6470ed3ff5c242981127f1438ef97462e8d205457b8a4f8a202ccd5	a48a9b59-b4ad-4166-a1ae-fcbcdcc4cb8e	description
i-616846bb095fc0616df2c2424283822f1b4c219c787f84645712fe64d66df3fc	9a1f8fba-f03e-47dd-b6fc-2cef97f1000b	numeric-base
i-e85dd790a70ef4668ee19f49ecd4793752b162a11ef891a09d5905f94b803adb	4b12b3a2-6efa-400f-9013-50294e5b825b	description
i-550592ea252a6fb737acb171b51e99fb85282e5144cd5040140c83f192f134e0	804da1fa-b761-4728-a553-67b69c8cecea	description
i-ed0e5bb41cd87149876bed0ea07c28e6ee0c448b113ac75fe0dde50643f1097e	29d128ce-2d3f-4e77-96d8-ee557aa8b488	description
i-a8a89bcba65f10f1cc8d0e9c7ac341b08ddb86eed6f38d6037373bbc1a052cdc	e4478491-46aa-4364-a394-67a3ed25a0b8	description
i-8855a3fca7d2398d29750ac24a1fd8636e548f84b68032affdfd7069bf19546e	b78fce70-35db-49bf-a644-811dff08424d	description
i-753342c5d2df9d0d3d86d7a2e780463d753ccb970e32c304c1f9e6fb867d8b61	fb3b0d1f-0434-4740-8c2a-81c8cad38555	description
i-a545956b05040a90ede5ebe94e832188e7994a39a585da11e804278371898d91	f196d4b9-e817-4f25-939e-17ecba2e98fb	description
i-f598a9a8a6fd17725037ea00316b27c1f96e95cfcda097340f8af42fbdf687bb	39cf9174-8ebb-4cad-a9c0-71b44eb79d51	description
i-4a050c2594f6fc9fdfbb6dcca55719d4e77a4bd51d01eb3d9c819d01b56bcee2	5104466a-0978-436b-8d89-64b58a764f44	description
i-99d6aa2a46b134ad969afc16d31067ce36043128cd06f98e6a23167b3fc911bb	ac8d69ec-b306-4fa3-9471-0d868af8d246	description
i-7c1f3ca43fb39bf0a9bb99c27d73b4994bc794c42daea75fb1ed79f083848680	ba813092-4107-4232-a05f-0b7167b584fd	description
i-a5ad1d3cddf6683c7cf49e00660c9c04f19f3ff9b3dbf3daa2dde0f0a7309ceb	15b2e42b-3199-4b5a-a669-fe1fd96ba560	description
i-f650e88d3214ce5b8f962f4707164efcf7ea0e23c57aa526f0e5e1b9113ee79a	b7bdaa31-229d-4fda-b861-fbebf2a638cc	description
i-3d49bd83f5aa7443a3b1035792927c0ba0a8bbce1b4420c58d39bc57e8a251c2	a3e2fb39-1f2c-481e-8b6a-6f2fd846970c	description
i-66bf7910ce9732264e6d3dbc59ea3e506dc3418c7658b134498bc47d2cfaec78	7f67b97d-06fa-4c00-b484-f6fdc0e55951	description
i-44f423b072c0f310c27e818c72a213ae0c66651bfa62b465d0ea780db429eadb	033dd68f-7484-47d9-bd29-9fdd7c9e848c	description
i-1f11b5f573cb7b4a6554b65d2feb591a2abd9beb5c14f296b74e25f11d67acd2	c12e4c13-d36d-447d-afa3-a577a4116836	description
i-9474e8be4d4f830f310c72d51cb80ac31dfc86b59defd1b7d3e1731fb8f013d4	b79daa81-8c4d-4ae5-a458-944f744c642a	description
i-d62e53f2c407e24aeccc88a67d2da1fda7d78a31de8d83755cf53c8a778d9e12	9738baa9-7ce0-4857-9e16-f71c4676406c	description
i-cb768eca0e6456258415070af98e618945b2dfc6b892055446aa5a580a55564d	b45842f4-76bf-4978-92ac-d94833516507	numeric-base
i-45ded808e2473fc2f49445f78b7725d0a115f7edcc1041f6419e2f8ba4a9edf7	99b606de-bbe3-472a-b38e-e0d0e92acb2e	description
i-1b142187ee0d820025b08d8621e83b6953481305464c0c4902d80814e8c2943c	0e3442b3-3e28-469b-ad18-d97aa9df14d2	description
i-67026089757cbaa28c5d61d6d0bd854e95ac2fd27581f5e9c9dbd043ff5ab4e3	0e37032c-d43b-496c-a058-968b1f46a59c	coda-airtable-link
i-f96905312d5ddef70c29c80f1573b7ad1ae081ea752d9721bcf0ab34ca635b38	cb712821-dfe1-4b9f-878d-963c45a1e041	description
i-c079cd646c0a7913ec0cdc167dfb2b4404596f39f42a0ac8f16575eeacf70221	8d29d545-f4e2-45e3-8130-b08e7e6c9ee9	numeric-base
i-dff862575ce953e368a648abb9c09ca58b6b1f456a433d5611287b98fa856a46	67f35744-8821-4315-9715-d13db4e1d7c7	description
i-f02346ebed4331cf52dfbce68c4332febce0f056ca88fc69e13daca6868bdfbe	270db195-8c44-4b55-a61d-989ace16cfac	numeric-base
i-9c6ec57476054ec4655eb9cd3ace3b8888535400888cbf86844fb87e03975ddc	80421508-bce2-4ae6-b577-41249ebb647a	description
i-120054605bbe1ae0f754f734049e2afd6d516ca953cb4f4d0fc3191f5ed157e8	e74c25db-52f2-4a0a-a4c8-2fc979e4fd26	description
i-85a41a4a237250d57269a87bf41b752f32f0b63c9452af71468100803b8bfd4f	e8809a9c-fe59-4955-aa65-3743d99cf39b	description
i-533634c9d5dacfcdd2715039ad95647f347042eef61ada7707e8487dd631c030	a36c990f-ae0e-4591-8ce0-b9e5abaa79d4	description
i-f6b122d0a466ce66eb700505e3c5a5832fc9f1b3ed9414e496b8904a13f88e4c	454ec974-a9dc-44a8-b9f0-e1c38f1c99eb	description
i-dd2e8eb17f06276a2dee06df6b21dcdde775a80e6b50116303a2cd5184447ee8	fd2e66b5-bd9d-4a47-81fd-7621cb2ecb5b	description
i-b6e5430e2e6fb97432f442e2f6da97e5aa53431a2e8d36833d7641f5dd40775b	fab55461-fa6b-4733-a28f-9853b181f7ba	description
i-a1d46fa181f4149f75084638332043fc526fc356bfbc271c51e6afbf0011cdda	7f8d5dd9-90fb-4322-9a19-246ed3447da9	description
i-2d28d6a35bfbd5631a83fdf9e4c784ea3cff0e2c3ca4b9b3707260e4ae550b7a	e292d22e-d5d2-460b-9f2e-40e01d45279e	description
