airtable_record_id,tool_description,currently_linked_to,product_id,vendor,airtable_url
rec1jyPpDVCr7Zi0e,1679NS,Black PLA,75677955,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec1jyPpDVCr7Zi0e
rec4IAHkvTipWtpPP,0366NS,Simple Green Cleaner,98560432,Fraisa,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec4IAHkvTipWtpPP
rec4IDXrNje1rFMVz,0374NS,Turmeric Ginger Tea,EMT 1212 D26 12 UNJ,CTC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec4IDXrNje1rFMVz
rec50IsKrqzOj9YTq,1683NS,1681NS,74148545,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec50IsKrqzOj9YTq
rec5Tj3syfHJQ9yhU,1682NS,1680NS,70647599,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec5Tj3syfHJQ9yhU
rec7CiBZDfYU28BfZ,1681NS,Packing Tape,48821946,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/rec7CiBZDfYU28BfZ
recADXGmMrk3hHi8s,0375NS,Green PLA,EMT 1212 D26 14 UNJ,CTC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recADXGmMrk3hHi8s
recAzTLeOsd84D4ii,1680NS,Throat Coat Tea,58544271,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recAzTLeOsd84D4ii
recBCOCBKd0RD92Dk,1661NS,Desert Sage Tea,49716830,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recBCOCBKd0RD92Dk
recEg8Hu5K9aG66uH,3010NS,Dish Soap,02330645,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recEg8Hu5K9aG66uH
recFxJzOIXWfdQI7T,0371NS,6” x 9” Self-Seal Bag,78958279,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recFxJzOIXWfdQI7T
recJI21GPl28quHZo,1684NS,Medium Orange Nitrile Gloves,2.CD.150100.CA,CTC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recJI21GPl28quHZo
recKWBumwC5qr63Up,1685NS,Super Glue Gel,2.CD.150100.CA,CTC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recKWBumwC5qr63Up
recNQ9YXuoOLaMz6W,1677NS,Post-it Notes,48831820,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recNQ9YXuoOLaMz6W
recOSQ7OMohYfJpvP,1686NS,Color Printer Ink,49209752,MSC,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recOSQ7OMohYfJpvP
recOeBtS3RtCEZa8H,0367NS,Band-Aids,95500530,Fraisa,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recOeBtS3RtCEZa8H
recWPGF2laM9MyRTE,0277NS,3x5 Laminating Pouches,82824012,Harvey Tool,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recWPGF2laM9MyRTE
recXat0fdzstBb7Jc,377NS,1570NS,1023-.500,Maritool,https://airtable.com/app95Qqnn3zB3iHEZ/tblK9Tm6I4hBKfNyS/recXat0fdzstBb7Jc
